2017.05.23 14:43:14 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2017.05.23 14:43:15 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2017.05.23 14:43:15 INFO  web[][o.e.plugins] [Alfie O'Meggan] modules [], plugins [], sites []
2017.05.23 14:43:16 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2017.05.23 14:43:16 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 6.3.1.21392 / 54be39f47d188340b14d4d9236bbf3d43b1db2ae
2017.05.23 14:43:16 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://localhost:9092/sonar
2017.05.23 14:43:16 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /home/etentho/Developer/Test/sonarqube-6.3.1/data
2017.05.23 14:43:16 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://localhost:9092/sonar
2017.05.23 14:43:17 WARN  web[][o.s.d.DatabaseChecker] H2 database should be used for evaluation purpose only
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /home/etentho/Developer/Test/sonarqube-6.3.1
2017.05.23 14:43:18 INFO  web[][o.s.s.p.d.m.h.MigrationHistoryTableImpl] Creating table schema_migrations
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Plugin C# [csharp] installed
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Plugin Python [python] installed
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Plugin Git [scmgit] installed
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Plugin SVN [scmsvn] installed
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Plugin SonarJS [javascript] installed
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Plugin PHP [php] installed
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Plugin Flex [flex] installed
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Plugin Java [java] installed
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin C# / 5.7.0.612 / 6c7d5830a41c62429eade2ead6e3fdf12a388856
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Flex / 2.3 / 79167f762219bea1fd181ff5ef6ca4b34abd1675
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Git / 1.2 / a713dd64daf8719ba4e7f551f9a1966c62690c17
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Java / 4.5.0.8398 / f5a869c42a13d27735d57da1691ca167093a885b
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin PHP / 2.9.2.1744 / 949b3433f56b501573b08243bc8485b0585ad5a1
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Python / 1.7.0.1195 / 5c015d7ae2353373d3dc52a465d1cd805ab6535a
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SVN / 1.4.0.522 / 1309b92a587d1c8fd55a2981c69ceadc1f79e79c
2017.05.23 14:43:18 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarJS / 2.20.0.4207 / d65285af4c43250613fa9d176207aeda9176d20a
2017.05.23 14:43:19 INFO  web[][o.s.s.p.Platform] DB needs migration, entering safe mode
2017.05.23 14:43:19 INFO  web[][o.s.s.p.d.m.AutoDbMigration] Automatically perform DB migration on fresh install
2017.05.23 14:43:19 INFO  web[][o.s.s.p.Platform] DB has been updated, exiting safe mode
2017.05.23 14:43:20 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2017.05.23 14:43:21 INFO  web[][o.s.s.e.IndexCreator] Create index components
2017.05.23 14:43:22 INFO  web[][o.s.s.e.IndexCreator] Create type components/component
2017.05.23 14:43:22 INFO  web[][o.s.s.e.IndexCreator] Create type components/authorization
2017.05.23 14:43:22 INFO  web[][o.s.s.e.IndexCreator] Create index tests
2017.05.23 14:43:23 INFO  web[][o.s.s.e.IndexCreator] Create type tests/test
2017.05.23 14:43:23 INFO  web[][o.s.s.e.IndexCreator] Create index projectmeasures
2017.05.23 14:43:24 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/projectmeasure
2017.05.23 14:43:24 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/authorization
2017.05.23 14:43:24 INFO  web[][o.s.s.e.IndexCreator] Create index rules
2017.05.23 14:43:24 INFO  web[][o.s.s.e.IndexCreator] Create type rules/activeRule
2017.05.23 14:43:24 INFO  web[][o.s.s.e.IndexCreator] Create type rules/rule
2017.05.23 14:43:24 INFO  web[][o.s.s.e.IndexCreator] Create index issues
2017.05.23 14:43:25 INFO  web[][o.s.s.e.IndexCreator] Create type issues/issue
2017.05.23 14:43:25 INFO  web[][o.s.s.e.IndexCreator] Create type issues/authorization
2017.05.23 14:43:25 INFO  web[][o.s.s.e.IndexCreator] Create index users
2017.05.23 14:43:25 INFO  web[][o.s.s.e.IndexCreator] Create type users/user
2017.05.23 14:43:25 INFO  web[][o.s.s.e.IndexCreator] Create index views
2017.05.23 14:43:26 INFO  web[][o.s.s.e.IndexCreator] Create type views/view
2017.05.23 14:43:26 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2017.05.23 14:43:26 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
